Number_of_Riders,Number_of_Drivers,Location_Category,Customer_Loyalty_Status,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,Predicted_XGB_Price,Predicted_LGB_Price,Simulated_Revenue_XGB,Simulated_Revenue_LGB
90,45,2,2,13,4.47,3,1,90,284.25727302188227,287.59824,304.19453629728025,287.59824,304.19453629728025
58,39,1,2,72,4.06,1,0,43,173.87475274940766,167.91045,168.0724337473674,167.91045,168.0724337473674
42,31,0,2,0,3.99,0,1,76,329.7954689622466,328.64862,329.4968438698567,328.64862,329.4968438698567
89,28,0,1,67,4.31,0,1,134,470.2012317513198,476.25208,482.5378450241819,476.25208,482.5378450241819
78,22,0,1,74,3.77,0,0,149,579.6814223640141,577.6552,580.9869108691722,577.6552,580.9869108691722
59,35,2,2,83,3.51,3,0,128,339.9553606047221,349.3426,361.1440875063864,349.3426,361.1440875063864
93,43,1,1,44,4.41,0,1,16,104.06154127359152,102.83448,97.23081141848296,102.83448,97.23081141848296
62,39,0,0,83,3.59,0,1,47,235.81186355605,235.37039,233.12539924536767,235.37039,233.12539924536767
79,14,0,2,71,3.74,1,0,128,501.4125174833056,496.3764,494.05077235210223,496.3764,494.05077235210223
42,6,0,2,21,3.85,3,1,128,398.9933645706103,404.63046,409.8511076438181,404.63046,409.8511076438181
86,17,2,1,99,4.69,2,0,167,669.2986264658781,635.84,554.7625072562251,635.84,554.7625072562251
60,38,0,0,15,4.14,1,1,144,414.9901047325251,423.11334,423.73421849695154,423.11334,423.73421849695154
24,8,0,0,50,4.12,2,0,164,490.41072171830416,490.83847,505.27251661753166,490.83847,505.27251661753166
36,24,1,2,88,4.22,3,1,83,296.24287599192223,306.37476,313.16862785160976,306.37476,313.16862785160976
63,13,0,1,74,4.95,0,1,102,327.0888648717375,330.99826,340.4930917066275,330.99826,340.4930917066275
39,12,2,2,30,4.51,0,1,140,445.1368684239125,446.501,445.1471236877669,446.501,445.1471236877669
38,28,0,2,35,3.93,0,1,54,244.5361718306458,241.18549,240.4689646537289,241.18549,240.4689646537289
46,14,1,2,21,4.71,0,0,15,47.31430863361691,51.39406,49.586313615731655,51.39406,49.586313615731655
33,7,1,0,49,4.31,1,1,22,129.8082629093964,128.31937,134.3860467880028,128.31937,134.3860467880028
31,7,1,2,24,4.82,1,1,87,382.9481103198511,376.93295,377.24795527534997,376.93295,377.24795527534997
96,45,2,1,6,4.95,0,1,11,82.77279318243978,82.55254,77.96468015943456,82.55254,77.96468015943456
22,11,1,2,79,4.48,3,0,15,64.07117255500656,63.891743,71.8785607035146,63.891743,71.8785607035146
74,16,0,1,6,3.97,2,0,139,390.6687658288554,398.51218,402.93435417604655,398.51218,402.93435417604655
24,12,2,1,10,3.6,1,1,45,212.1665249737545,203.70714,179.6437895439333,203.70714,179.6437895439333
48,19,1,0,72,3.81,3,1,65,235.65813370551408,237.99327,239.58689103311727,237.99327,239.58689103311727
56,13,0,1,36,4.81,1,0,162,406.5574980533908,537.50555,535.894411381832,537.50555,535.894411381832
72,33,0,0,66,4.39,2,1,30,182.4744270596517,175.15132,179.27812157126618,175.15132,179.27812157126618
97,75,2,2,76,4.7,3,0,158,652.617297300081,654.0272,667.2537617461529,654.0272,667.2537617461529
62,33,1,1,39,3.91,1,1,129,403.22709836941993,413.86246,414.71347291257956,413.86246,414.71347291257956
57,38,1,2,54,4.1,3,1,131,537.7848594528473,537.4236,539.0286797647303,537.4236,539.0286797647303
25,7,1,2,13,3.99,2,1,81,286.13145256368455,321.95612,305.6445807836391,321.95612,305.6445807836391
75,56,1,0,94,4.79,1,1,153,485.0546633356366,483.87085,490.3100909607351,483.87085,490.3100909607351
39,9,2,0,39,4.64,0,1,48,171.0859835160851,177.90202,186.25287245096163,177.90202,186.25287245096163
35,24,1,0,73,3.76,1,1,105,485.8784537318511,474.28296,462.9917520222843,474.28296,462.9917520222843
68,32,1,1,34,3.58,2,0,77,294.7328864777875,288.00308,291.93890393091147,288.00308,291.93890393091147
96,43,0,2,97,3.68,2,1,91,392.83872040801793,392.165,401.6390857265136,392.165,401.6390857265136
28,11,1,0,52,4.33,0,1,94,456.1809467866996,444.0209,454.1324133295813,444.0209,454.1324133295813
25,15,0,0,65,4.88,1,1,101,502.5293207873477,497.64868,480.7710492895142,497.64868,480.7710492895142
28,6,1,1,2,4.29,2,0,89,244.21766165291973,250.65764,262.7786631112415,250.65764,262.7786631112415
73,17,0,1,14,4.81,1,1,170,634.7265312250814,580.17377,593.6235619310344,580.17377,593.6235619310344
36,18,2,2,88,3.73,3,1,92,345.40676830595487,344.00064,347.8752806689908,344.00064,347.8752806689908
56,10,2,2,55,4.5,3,0,45,151.15212964816465,152.03911,145.27255829233334,152.03911,145.27255829233334
97,81,1,1,52,4.56,1,0,125,530.7599938912294,529.0298,527.8958803179161,529.0298,527.8958803179161
63,9,0,1,89,3.87,0,1,166,482.85016419959805,483.4103,488.43541410850287,483.4103,488.43541410850287
78,33,2,2,35,4.46,2,1,116,355.9595074862448,439.7331,441.80092131004795,439.7331,441.80092131004795
29,10,1,1,25,3.77,0,0,91,303.9609626071891,305.40546,305.0147505236944,305.40546,305.0147505236944
73,33,1,2,60,3.88,3,1,161,514.8771742414517,532.3063,532.5946311478282,532.3063,532.5946311478282
94,29,2,1,67,3.59,1,1,96,361.13235495172165,361.40558,369.5327481176516,361.40558,369.5327481176516
54,28,1,2,83,4.49,3,0,32,80.26246462184758,87.026764,87.62188546075487,87.026764,87.62188546075487
67,6,0,0,15,3.53,3,0,123,420.6239113101238,419.9522,406.47449358844005,419.9522,406.47449358844005
23,8,2,2,27,4.73,0,0,117,520.8926706123274,511.32837,493.7585686817065,511.32837,493.7585686817065
70,14,2,2,16,4.3,2,0,53,183.07579104191225,184.69003,186.56083823682434,184.69003,186.56083823682434
20,10,0,2,70,4.92,1,0,65,190.13746358777752,190.74265,187.33084303597653,190.74265,187.33084303597653
95,84,1,0,18,3.86,0,1,112,522.3021028701461,519.83813,515.1988962057503,519.83813,515.1988962057503
43,16,2,2,40,4.89,3,1,106,410.6863449474928,410.90884,413.4841480704501,410.90884,413.4841480704501
97,55,1,2,94,4.62,1,1,150,584.9958711291002,564.52606,628.1612060044708,564.52606,628.1612060044708
32,20,0,2,44,3.55,3,0,68,301.62262644973293,290.92102,286.50873684882265,290.92102,286.50873684882265
95,25,1,1,72,4.16,2,1,128,413.5870840445325,424.74832,431.180244447955,424.74832,431.180244447955
47,15,2,0,14,4.84,3,0,89,273.11810461931896,277.7138,283.86223017632045,277.7138,283.86223017632045
25,11,0,2,33,3.85,3,0,94,247.1745626508575,301.36658,307.21223209046104,301.36658,307.21223209046104
37,22,0,1,76,4.72,0,0,69,213.4432507972432,227.67116,236.49664630610937,227.67116,236.49664630610937
59,39,1,0,49,3.78,2,1,98,295.79438015283176,313.58954,309.1982475589976,313.58954,309.1982475589976
42,20,2,2,88,4.64,3,1,29,145.0698091748401,146.18312,141.179855584727,146.18312,141.179855584727
53,11,0,1,2,3.5,0,1,81,297.0186264188845,354.53583,343.51440336884883,354.53583,343.51440336884883
79,64,0,1,91,4.57,3,0,164,666.6870291344428,667.68585,667.977998078368,667.68585,667.977998078368
59,23,2,0,41,4.97,1,1,91,449.5456339145253,446.4562,432.5225766705576,446.4562,432.5225766705576
40,29,2,1,72,4.3,0,0,147,624.9860100296204,526.749,550.2839615618487,526.749,550.2839615618487
76,40,1,2,77,4.17,2,0,28,96.03520851587072,101.30183,90.98834416290262,101.30183,90.98834416290262
41,26,2,1,96,3.91,3,0,169,637.7593915947267,636.8896,635.9562864835767,636.8896,635.9562864835767
